TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,PreviousTransactionDate,ip_loc,location_loc,location_lat,location_lon,ip_lat,ip_lon,distance_loc_ip,large_divergence,TimeSinceLastTransaction,Fraud,KMeans_Cluster,KMeans_Distance,KMeans_Fraud,ZScore_Fraud,IsoForest_Score,IsoForest_Fraud,LogReg_Fraud
TX000055,AC00419,104.63,2023-03-29 17:47:16,Debit,Omaha,D000642,186.135.2.148,M095,ATM,62,Retired,90,1,2024-11-04 08:10:42,"-34.6131,-58.3772","41.2571,-95.9951",41.2571,-95.9951,-34.6131,-58.3772,9240.20586058384,True,-50595806.0,True,4,3.646317960768033,False,True,0.061623295347590146,False,False
TX000056,AC00374,316.95,2023-08-04 17:53:40,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25,Student,83,1,2024-11-04 08:09:15,"51.5085,-0.1257","33.4245,-111.8332",33.4245,-111.8332,51.5085,-0.1257,8489.979033093912,True,-39536135.0,False,0,2.409019495425273,False,False,0.13659541645396678,False,False
TX000057,AC00271,60.54,2023-12-14 17:52:37,Credit,Columbus,D000462,1.198.76.182,M095,Branch,57,Retired,52,1,2024-11-04 08:09:57,"31.2222,121.4581","39.9833,-82.9833",39.9833,-82.9833,31.2222,121.4581,11729.190300611453,True,-28131440.0,False,4,2.400769615250151,False,False,0.11495726344862822,False,False
TX000058,AC00456,292.56,2023-03-03 17:37:41,Credit,Dallas,D000311,198.73.211.114,M075,Branch,68,Retired,61,1,2024-11-04 08:07:49,"42.9976,-81.2563","32.7791,-96.8088",32.7791,-96.8088,42.9976,-81.2563,1771.9187547884974,False,-52842608.0,False,0,1.9009085900597058,False,False,0.12114893160058787,False,False
TX000059,AC00143,386.52,2023-06-09 16:18:15,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,2024-11-04 08:07:09,"-34.9033,-56.1882","39.7910,-86.1480",39.791,-86.148,-34.9033,-56.1882,8824.42342982078,True,-44380134.0,True,4,3.6031885710958957,False,True,0.06279295118108696,False,True
TX000060,AC00427,112.07,2023-10-02 16:35:22,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,23,Student,51,1,2024-11-04 08:11:37,"51.0501,-114.0853","39.0997,-94.5783",39.0997,-94.5783,51.0501,-114.0853,2019.2464188757415,False,-34443375.0,False,0,1.9887178355276576,False,False,0.12129779288128362,False,False
TX000061,AC00438,568.52,2023-10-06 18:44:37,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,46,Engineer,152,1,2024-11-04 08:06:25,"35.2836,139.6672","39.7910,-86.1480",39.791,-86.148,35.2836,139.6672,10460.984961197553,True,-34089708.0,False,4,2.0435265194058463,False,False,0.1302371131386038,False,False
TX000062,AC00002,263.99,2023-05-16 16:07:30,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,2024-11-04 08:11:03,"39.9690,-83.0114","32.7791,-96.8088",32.7791,-96.8088,39.969,-83.0114,1470.2317814586586,False,-46454613.0,False,3,3.0657118634509786,False,False,0.06330891655246229,False,False
TX000063,AC00425,349.64,2023-11-07 16:48:23,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48,Engineer,226,1,2024-11-04 08:08:09,"36.0512,-78.8577","36.1147,-115.2014",36.1147,-115.2014,36.0512,-78.8577,3253.940116512804,False,-31331986.0,False,3,1.6845076924186293,False,False,0.11703508722873257,False,False
TX000064,AC00325,601.4,2023-05-30 17:43:25,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,56,Engineer,104,1,2024-11-04 08:08:01,"25.0531,121.5264","39.9525,-75.1652",39.9525,-75.1652,25.0531,121.5264,12603.649823951446,True,-45239076.0,False,4,2.163385893615453,False,False,0.1102013168829053,False,False
TX000065,AC00434,5.77,2023-11-02 16:01:40,Debit,Charlotte,D000461,155.164.18.235,M071,Online,50,Doctor,124,1,2024-11-04 08:11:32,"39.7684,-86.1580","35.2270,-80.8431",35.227,-80.8431,39.7684,-86.158,688.884485315687,False,-31766992.0,False,0,1.923076460243595,False,False,0.13274921016471708,False,False
TX000066,AC00242,201.33,2023-03-29 17:00:31,Credit,Nashville,D000098,145.246.171.225,M003,Branch,42,Engineer,186,1,2024-11-04 08:11:41,"51.5085,-0.1257","36.1744,-86.7679",36.1744,-86.7679,51.5085,-0.1257,6751.327663907212,False,-50598670.0,False,3,1.6685852002222448,False,False,0.14447856008646692,False,False
TX000067,AC00319,298.42,2023-04-25 16:11:24,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,56,Retired,225,1,2024-11-04 08:10:12,"52.3705,9.7332","39.7910,-86.1480",39.791,-86.148,52.3705,9.7332,6989.722670867907,False,-48268728.0,False,3,1.987527715127258,False,False,0.13470718131979098,False,False
TX000068,AC00460,521.06,2023-04-18 18:40:47,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,25,Student,128,1,2024-11-04 08:12:10,"29.4241,-98.4936","35.1067,-106.6291",35.1067,-106.6291,29.4241,-98.4936,991.6230587870875,False,-48864683.0,False,3,2.2893107574100022,False,False,0.13396870498828778,False,False
TX000069,AC00461,117.28,2023-02-09 16:34:53,Credit,Austin,D000128,46.150.175.171,M057,Online,60,Engineer,16,1,2024-11-04 08:07:11,"55.9110,37.7296","30.2666,-97.7333",30.2666,-97.7333,55.911,37.7296,9567.294641912129,True,-54747138.0,False,0,2.9586830137138977,False,False,0.08746509853071782,False,False
TX000070,AC00395,189.12,2023-11-13 16:42:28,Credit,Indianapolis,D000684,125.89.163.224,M040,Branch,32,Engineer,103,1,2024-11-04 08:08:42,"22.5455,114.0683","39.7910,-86.1480",39.791,-86.148,22.5455,114.0683,12793.000833605478,True,-30813974.0,False,4,1.8043957599019502,False,False,0.10630397552766502,False,False
TX000071,AC00217,133.55,2023-07-18 16:12:00,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,44,Engineer,220,1,2024-11-04 08:10:18,"39.7795,-86.1328","33.7537,-84.3863",33.7537,-84.3863,39.7795,-86.1328,686.6003788206266,False,-41011098.0,False,3,1.6883502079038193,False,False,0.13369067343992447,False,False
TX000072,AC00053,143.21,2023-01-13 17:00:16,Debit,Dallas,D000410,65.164.3.100,M066,Online,35,Engineer,135,1,2024-11-04 08:09:26,"41.4748,-84.5524","32.7791,-96.8088",32.7791,-96.8088,41.4748,-84.5524,1452.4834976580303,False,-57078550.0,False,0,2.1320516872280795,False,False,0.13412101882043626,False,False
TX000073,AC00282,24.77,2023-07-04 18:20:33,Debit,Boston,D000180,9.230.41.239,M070,ATM,62,Retired,55,1,2024-11-04 08:12:15,"36.0512,-78.8577","42.3611,-71.0570",42.3611,-71.057,36.0512,-78.8577,971.1104077628096,False,-42213102.0,False,0,2.265507577663884,False,False,0.09886277026765161,False,False
TX000074,AC00110,233.92,2023-10-20 16:54:28,Credit,Jacksonville,D000295,152.140.239.181,M046,Online,26,Student,280,1,2024-11-04 08:08:45,"41.8721,-87.6578","30.3321,-81.6556",30.3321,-81.6556,41.8721,-87.6578,1388.9357030321546,False,-32886857.0,False,3,2.748591486287582,False,False,0.0903053907859318,False,False
TX000075,AC00265,1212.51,2023-10-04 16:36:29,Debit,Indianapolis,D000231,193.83.0.183,M036,Branch,20,Student,24,1,2024-11-04 08:06:51,"47.7994,13.0440","39.7910,-86.1480",39.791,-86.148,47.7994,13.044,7463.343463355261,True,-34270222.0,True,1,2.5896286832196203,False,True,0.07585461279868028,False,False
TX000076,AC00239,232.12,2023-12-28 17:31:03,Debit,Omaha,D000073,156.173.170.140,M066,ATM,37,Engineer,51,1,2024-11-04 08:09:17,"30.0626,31.2497","41.2571,-95.9951",41.2571,-95.9951,30.0626,31.2497,10433.46818208554,True,-26923094.0,False,4,2.3385207460029265,False,False,0.10670669697636975,False,False
TX000077,AC00007,162.63,2023-06-12 17:53:52,Debit,Kansas City,D000070,60.153.124.80,M060,Online,22,Student,113,1,2024-11-04 08:08:22,"35.8622,139.9773","39.0997,-94.5783",39.0997,-94.5783,35.8622,139.9773,9999.725990488787,True,-44115270.0,False,4,1.7993443181635915,False,False,0.12350029120096095,False,False
TX000078,AC00022,91.53,2023-03-13 16:32:12,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,44,Doctor,69,1,2024-11-04 08:11:36,"47.5413,-122.3129","43.0389,-87.9064",43.0389,-87.9064,47.5413,-122.3129,2721.8646766842335,False,-51982764.0,False,0,1.9247094124090935,False,False,0.11348908259335655,False,False
TX000079,AC00464,120.29,2023-12-18 18:46:27,Debit,Miami,D000561,162.198.218.92,M045,Branch,19,Student,77,1,2024-11-04 08:06:50,"34.9204,-82.2962","25.7616,-80.1917",25.7616,-80.1917,34.9204,-82.2962,1035.221484322889,False,-27782423.0,False,0,3.501872596358163,False,False,0.050955555036837685,False,False
TX000080,AC00014,174.25,2023-07-17 18:54:31,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,2024-11-04 08:10:29,"46.9481,7.4474","47.6080,-122.3351",47.608,-122.3351,46.9481,7.4474,8453.544388761353,True,-41087758.0,False,0,3.3365285163505205,False,False,0.08429449562371677,False,False
